governorate,year,month,S2_scene_count,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std
Kebili,2016,8,16,0.06646684485069006,-0.2619326737928416,0.03998484816201221,0.05409277189325633
Kebili,2016,9,10,0.058911982762987126,-0.26347774996667067,0.022092888084063005,0.046720675087423266
Kebili,2016,10,1,0.05774979457314971,-0.25749846948760713,0.029574401680868313,0.04693997241934697
Kebili,2016,11,7,0.08071607624434542,-0.28282289268325944,0.05402835838414937,0.0569042191091722
Kebili,2016,12,12,0.07501513483344173,-0.26202093290013645,0.05416046677098284,0.0552608820118301
Kebili,2017,1,10,0.07985932500853357,-0.28195401787106256,0.03567077362699412,0.04762763505569316
Kebili,2017,2,11,0.08560676527754082,-0.27987797065370407,0.03490499820634491,0.048471121684824446
Kebili,2017,3,17,0.09251289685037295,-0.28198113104895994,0.05047288584989507,0.05304951742678432
Kebili,2017,4,14,0.07872817329958194,-0.26096856067910146,0.03449905920338543,0.05961390385138679
Kebili,2017,5,18,0.08141620550009405,-0.2730774536497475,0.04245288235514328,0.05071083469404837
Kebili,2017,6,31,0.0734566640700219,-0.27022736755707194,0.02784750770138765,0.05157477230805016
Kebili,2017,7,52,0.06916084307129192,-0.2699609979666184,0.024924117147302655,0.049894497144293705
Kebili,2017,8,39,0.07276212971574432,-0.27308848297380234,0.02493846395905895,0.04907149920692339
Kebili,2017,9,31,0.06683192466747367,-0.26456994721368077,0.023146296648190335,0.0433431026290405
Kebili,2017,10,35,0.0697655054104371,-0.2690180437809017,0.03178404531732158,0.05055856436749041
Kebili,2017,11,21,0.0803490481133487,-0.27597281219333347,0.03255140239779064,0.04831046301443695
Kebili,2017,12,11,0.07995375255567326,-0.2736665193329062,0.03638011176756798,0.048604398331831236
Kebili,2018,1,33,0.08334640673463142,-0.27650008848369084,0.034749723393312046,0.05041299980050706
Kebili,2018,2,25,0.08801797173853354,-0.27545322966761226,0.04659021464437363,0.048314009789918504
Kebili,2018,3,25,0.08486838453141925,-0.281546131638148,0.03035391656600618,0.05128574191013328
Kebili,2018,4,29,0.08314709648947051,-0.2804116215862108,0.025588454506177697,0.04708661257937424
Kebili,2018,5,22,0.07509244618582703,-0.2727263005897101,0.028285434714521017,0.04962076764084961
Kebili,2018,6,44,0.07088658277259005,-0.26849569280830904,0.023688175731099655,0.04834799779571403
Kebili,2018,7,35,0.0690918164105285,-0.26700496916095223,0.018845954886799212,0.043667770131281765
Kebili,2018,8,21,0.06619298657522188,-0.27758488062371894,0.019862251914236007,0.043211827592424305
Kebili,2018,9,26,0.06451770267619159,-0.2621245164545252,0.023455258137832478,0.0495552735679647
Kebili,2018,10,22,0.07496414183018557,-0.2730964952021466,0.026521939447114777,0.049035976520779394
Kebili,2018,11,28,0.07755318725695569,-0.27299066847210346,0.02877438325224097,0.04698117187921835
Kebili,2018,12,58,0.08080036169708596,-0.26394438369173445,0.047147528678278386,0.058422436163831075
Kebili,2019,1,46,0.0820676446372606,-0.26791905645174663,0.047130354887418104,0.05776395446175379
Kebili,2019,2,51,0.08677344587227002,-0.270377065528229,0.04412400163254483,0.06096637317118774
Kebili,2019,3,46,0.08648646115543422,-0.26925434522732533,0.04176962799203834,0.0592224076023835
