governorate,year,month,precip_total_mm,precip_max_daily_mm,rain_days
Gabes,2023,2,25.992279634755043,21.401344588271524,1.7084202820963847
Gabes,2023,3,14.798862633733899,6.272558934699325,3.8341399993444703
Gabes,2023,4,9.869906833515453,9.469528848098157,1.3537458073397506
Gabes,2023,5,21.297052862282026,7.006562804926756,4.494433458248205
Gabes,2023,6,1.3683824500333355,0.7939551136919287,0.48574768652558226
Gabes,2023,7,0.10222515890827757,0.08556036703247612,0.14040358793387892
Gabes,2023,8,4.054127697224193,3.965737860484293,1.118596291885632
Gabes,2023,9,8.094302848569338,6.07159320376827,1.5647608954538996
Gabes,2023,10,6.262412015422544,4.673751772781768,1.6432387549301315
Gabes,2023,11,13.712217522238726,8.424956868920663,2.2063936020277723
Gabes,2023,12,57.44034664252328,29.997852127940348,3.1980137442777696
Gabes,2024,1,15.278158496800465,7.419205272978786,2.4657103213189266
Gabes,2024,2,18.6052466531561,5.7834473542287,5.334604333052912
Gabes,2024,3,13.700989928577819,7.787744150774507,2.3600170437784755
Gabes,2024,4,22.88340339971519,11.291617866751764,5.849315517486264
Gabes,2024,5,10.274973928442533,5.290136067741647,4.469588873471796
Gabes,2024,6,2.364153048494159,1.3540896374608644,2.047973866206339
Gabes,2024,7,0.0,0.0,0.0
Gabes,2024,8,1.8875118549930747,1.1555651830124427,3.4716865692840537
Gabes,2024,9,20.044731713439628,8.419514375085198,5.301456369019656
Gabes,2024,10,22.389786329906865,12.14705700691417,4.18688066077418
Gabes,2024,11,11.854435884495008,7.667471408833575,1.894044510483017
Gabes,2024,12,14.4052781022132,6.066932689607117,2.517628292672269
Gafsa,2002,1,5.8686712870295965,5.422598675344632,1.0643315286183823
Gafsa,2002,2,6.016436487060644,4.518150958344569,1.783168285237148
Gafsa,2002,3,8.268738622633093,4.006483151281146,2.9538148979396457
Gafsa,2002,4,7.237266225413266,6.004250571891403,1.4500015955240226
Gafsa,2002,5,21.00094368894737,11.886091318559885,3.7718294278450832
Gafsa,2002,6,6.503411032578917,2.9492799938768006,3.018284705306713
Gafsa,2002,7,2.467638456682742,1.9749977629001163,1.0885196728112065
Gafsa,2002,8,6.694389773492268,2.9056533982259904,3.2707497899226685
Gafsa,2002,9,11.9615616165373,9.187928123213315,1.6402412432323181
Gafsa,2002,10,10.821566432940482,6.5814569832351415,2.1332794400774366
Gafsa,2002,11,27.417818316064096,12.35901148207432,3.245540510354949
Gafsa,2002,12,13.911203437580324,7.661118937032197,3.3453777669045754
Gafsa,2003,1,29.746082507489856,15.140121271925416,3.7209534851563086
Gafsa,2003,2,10.013813045034563,5.318772662338081,3.2211502664525113
Gafsa,2003,3,16.0273982669005,6.9185694198022665,3.6136598130045825
Gafsa,2003,4,33.9315402093682,15.316744654427621,3.8005914075712917
Gafsa,2003,5,15.549073250329696,9.145042001716066,4.33781498303426
Gafsa,2003,6,3.6567634011768564,2.336188311142574,1.745386276366034
Gafsa,2003,7,0.14717150724835534,0.1408065152040458,0.10259219469647812
Gafsa,2003,8,1.4363434701872992,1.262417511912968,0.5489028113133289
Gafsa,2003,9,22.623538360093004,12.02391139790927,3.0354844542776
Gafsa,2003,10,23.741671616572106,10.912874902336878,3.3498133236892773
Gafsa,2003,11,23.662319039028034,9.871878460708826,4.64719772797379
Gafsa,2003,12,24.01906138055078,11.992323001794706,3.7608628593917834
Gafsa,2004,1,10.574923823452876,5.102274002236665,3.04378117919862
Gafsa,2004,2,4.684117365911204,2.8410619553459298,2.544552349143203
Gafsa,2004,3,21.80358356607226,9.093944930211647,4.317881569570164
Gafsa,2004,4,15.122447922430036,11.856883464172446,1.8862178634869644
Gafsa,2004,5,8.963905600134396,5.625820294414848,1.8355227468541582
Gafsa,2004,6,6.640702242354224,3.652967366423305,2.2567836363056157
Gafsa,2004,7,0.7980863739459623,0.7519459986612399,0.3235297246125535
Gafsa,2004,8,6.495804929812714,2.745206839937136,3.0623211683490577
Gafsa,2004,9,14.990351623049275,8.040432048480723,2.9657068703264415
Gafsa,2004,10,8.574563864415772,5.577428136531707,1.9562932785891316
Gafsa,2004,11,27.327769049730755,11.910361651507555,3.4109963515683996
Gafsa,2004,12,14.897539298339218,4.535699843931761,4.971854956229457
Gafsa,2005,1,1.091858344092874,0.6872042530670647,0.2952464020933274
Gafsa,2005,2,3.2465077445058235,2.471559160164995,1.075553380915405
Gafsa,2005,3,9.529140460782878,4.184978435236644,3.8229393807239407
Gafsa,2005,4,11.753758999452247,6.554629811843662,3.2200865837703287
Gafsa,2005,5,7.797019895498888,3.876736112822359,3.135342984480869
Gafsa,2005,6,8.64589870024703,2.6608240773223293,4.832980545243743
Gafsa,2005,7,1.044199963705481,0.9374686282945521,0.5890993798729963
Gafsa,2005,8,3.0864307033638156,2.8360747058042124,0.8037930924446615
Gafsa,2005,9,21.41131808674144,7.332102132176036,3.809866720559923
Gafsa,2005,10,12.0729436718488,7.181486991187433,2.30815950985502
Gafsa,2005,11,20.15244491544519,9.738195323536305,3.542584536181165
Gafsa,2005,12,23.934606370471332,10.016767520683803,4.464808058459999
Gafsa,2006,1,22.473586809707047,9.86973244949149,3.4423537170391327
Gafsa,2006,2,8.983040572217027,4.462472959712709,3.013519406890534
Gafsa,2006,3,1.8962244963661907,1.6533486759078198,0.5975450203695232
Gafsa,2006,4,21.089397730364166,5.540028214846464,5.958792932892254
Gafsa,2006,5,19.028688759716747,5.417359570663235,7.0200078712518446
